tidspunkt,temperatur,trykk,fuktighet,pm25,pm10
2022-11-07 21:32:30.941724,22.2919768314454,992.8090224596281,26.667064862905782,2,2
2022-11-07 21:33:03.714436,22.114777792705514,992.8151676495165,26.610425173810377,3,3
2022-11-07 21:33:36.477376,22.205406297123446,992.8178685503018,26.30999960755962,3,3
2022-11-07 21:34:09.170459,22.326479192398416,992.7888996917413,26.157760321943332,3,3
2022-11-07 21:34:41.939173,22.462227726231784,992.7865196939892,26.0440167727986,3,3
2022-11-07 21:35:14.705591,22.601645289121407,992.7430943697773,25.907934504274838,2,2
2022-11-07 21:39:57.842235,22.93396432743165,992.8078108041665,25.351534588395257,2,2
2022-11-07 21:40:30.619356,23.000178567356535,992.803999596494,25.49415226313253,2,2
2022-11-07 21:41:04.239035,22.981834085435434,992.7993281818907,25.516766370757736,2,2
2022-11-07 21:41:37.023322,22.99926134319808,992.8047197464385,25.5163982494659,2,2
2022-11-07 21:42:09.733624,22.582951766414013,992.8107278951111,25.437288928993002,3,3
2022-11-07 21:42:42.493703,22.841783207912126,992.820386154456,25.409082350745738,2,2
2022-11-07 21:43:15.246983,22.919004254765824,992.8148379757888,25.56809617778658,2,2
2022-11-07 21:43:47.918989,22.83215234850658,992.814943448786,25.453746521037225,2,3
2022-11-07 21:44:20.696695,23.03090558046064,992.7980805898513,25.454603261300356,2,2
2022-11-07 21:44:53.421847,22.936431503979474,992.7803519745619,25.523281245007237,3,4
2022-11-07 21:45:26.116270,23.483904134667437,992.7840723738777,25.477365620556164,2,2
2022-11-07 21:45:58.886247,23.850050860638135,992.7545348526792,25.363514341165057,3,3
2022-11-07 21:46:31.643637,23.933976985782312,992.7553675044348,25.32280798795123,2,2
2022-11-07 21:47:04.332556,23.90783605566014,992.7629001083207,25.290017234174922,3,3
2022-11-07 21:47:37.095299,23.87315564027974,992.7464164717253,25.55703270980397,3,3
2022-11-07 21:48:09.856050,23.679621614495314,992.7439849096355,25.7221712073534,2,3
2022-11-07 21:48:42.550577,23.587899429535,992.7327193451686,25.851795402636906,2,2
2022-11-07 21:49:15.310368,23.426468543542338,992.7847425433072,25.955037625511217,2,2
2022-11-07 21:49:48.081285,23.786369393319735,992.8133281503548,26.079552982411727,2,2
2022-11-07 21:50:20.767479,23.253572621418,992.8240163432961,26.219393434657093,2,2
2022-11-07 21:50:53.530617,23.233852411707172,992.8281970295433,26.236434505941897,2,2
2022-11-07 21:51:26.322564,23.504148972128903,992.8211017299591,26.191416706736213,3,3
2022-11-07 21:51:58.984444,23.37648004339923,992.7918532824004,26.089276602554477,3,3
2022-11-07 21:52:31.748681,23.3040196833341,992.8226259344201,26.179537727541366,2,2
2022-11-07 21:53:04.510292,23.365473403786744,992.8074085633826,26.050643485674243,2,2
2022-11-07 21:53:37.205024,23.300350805433844,992.8254996724121,26.063059696866926,3,3
2022-11-07 21:54:09.967024,23.37877309343755,992.7961218601477,26.0392729371306,1,2
2022-11-07 21:54:42.734561,23.577067920004843,992.8289656235727,26.012345855440945,2,2
2022-11-07 21:55:15.421760,23.371893943445745,992.8249060386548,26.02275964098203,2,2
2022-11-07 21:55:48.190795,22.407899378308137,992.832361134052,26.92336000822487,2,2
2022-11-07 21:56:20.944826,22.980241613250715,992.8439316547671,26.363511919572804,2,2
2022-11-07 21:56:53.642383,23.469753256408545,992.8783586695208,26.186554450859276,3,3
2022-11-07 21:57:26.408750,23.83865091650269,992.8468851627156,26.056296136071765,3,3
2022-11-07 21:57:59.172003,23.592202046464426,992.8422363012344,26.06754559798641,2,2
2022-11-07 21:58:31.857570,23.44297851117835,992.8168629154476,25.98245895928856,0,0
2022-11-07 21:59:04.627502,23.467743466622775,992.7783899973606,25.926437824700336,1,1
2022-11-07 21:59:37.394866,23.71694400539889,992.7670155942053,25.942887441210186,2,2
2022-11-07 22:00:10.999969,23.90331493522429,992.7936192854271,26.01057918618866,2,2
2022-11-07 22:00:43.692885,23.699516812658548,992.758145001792,25.95989796011631,3,3
2022-11-07 22:01:16.457990,23.934500431099522,992.7743780869297,25.976636949002103,3,3
2022-11-07 22:01:49.231738,23.641731927380878,992.8034301805465,26.01103493500579,4,4
2022-11-07 22:02:21.922792,23.73804008399403,992.7730099733744,25.892488347218734,1,2
2022-11-07 22:02:54.683832,23.47232957000834,992.7973257279052,25.98186220317877,1,1
2022-11-07 22:03:27.449741,23.502139246017233,992.7921579375788,25.88131828272555,2,2
2022-11-07 22:04:00.135068,23.38886251409389,992.8419376762927,25.878087362925218,1,1
2022-11-07 22:04:32.903387,23.336580979304266,992.8291769808063,26.034575875401746,1,1
2022-11-07 22:05:05.676084,23.493142342093396,992.8505138805818,26.186087040913915,1,1
2022-11-07 22:05:38.364408,23.685475286106023,992.8195708596801,26.32574818316352,2,2
2022-11-07 22:06:11.130717,23.2164252521644,992.8383780482945,26.275625323225004,3,3
2022-11-07 22:06:43.890661,23.27558588235606,992.8275688071094,26.207855141807475,2,2
2022-11-07 22:07:16.583780,23.56789572302089,992.8205552145872,26.140190535028268,1,1
2022-11-07 22:07:49.344310,23.39528305492538,992.8230434539854,26.066693823480122,3,3
2022-11-07 22:08:22.121638,23.295306098492595,992.8372484366265,26.185261953520268,2,2
2022-11-07 22:08:54.809949,23.53349999018119,992.8345013064111,26.129780706518734,1,1
2022-11-07 22:09:27.586599,23.284758075530245,992.8359797602743,26.10777432160547,2,2
2022-11-07 22:10:00.333232,23.738673987276936,992.8489512243082,26.141561439273623,2,2
2022-11-07 22:10:33.033645,23.18386398674138,992.8318198260451,26.120900699116557,2,2
2022-11-07 22:11:05.805566,23.202208360609458,992.8746323435715,26.098335384366298,2,2
2022-11-07 22:11:38.565521,23.700150787670268,992.865256136094,26.18117925946398,3,3
2022-11-07 22:12:11.256128,23.73500511062471,992.8778148498958,26.136085352189426,2,2
2022-11-07 22:12:44.020805,23.269165347524964,992.8759152460275,26.09698822994117,2,2
2022-11-07 22:13:16.790162,23.678137535954484,992.8842242992386,26.08173371761957,2,3
2022-11-07 22:13:49.482518,23.05545344323285,992.8457106282298,26.23998270664866,3,5
2022-11-07 22:14:22.244226,23.193953392043678,992.8551066881826,26.148443835338636,3,3
2022-11-07 22:14:55.008636,23.17881928438828,992.8643564816884,26.109903890175378,4,4
2022-11-07 22:15:27.703243,23.253114011855356,992.8581629179575,26.086211827404412,3,3
2022-11-07 22:16:00.476695,23.240731554284704,992.8583296707397,26.02541487877769,3,3
2022-11-07 22:16:33.234129,23.257700107555692,992.8337791461073,26.069470137789168,3,3
2022-11-07 22:17:05.925194,23.73454650105057,992.8530498986759,26.097246652457407,2,2
2022-11-07 22:17:39.530774,23.734087891478072,992.8577407770009,26.036208337038953,2,3
2022-11-07 22:18:12.294377,23.268706737906488,992.8528826912466,26.085897767231174,1,2
2022-11-07 22:18:45.057871,23.253572621418,992.8569374358045,26.05845385001294,3,3
2022-11-07 22:19:17.754154,23.55138577010505,992.8577470452708,26.029517282685465,2,2
2022-11-07 22:19:50.520913,23.315484927449788,992.852633319847,25.99615008778549,3,3
2022-11-07 22:20:23.288728,23.554596038560895,992.864762969429,25.973948422490395,2,3
2022-11-07 22:20:55.995559,23.371893943445745,992.8474339066898,25.950598015549254,3,3
2022-11-07 22:21:28.744960,23.414086069211972,992.8438362743499,25.949738517255682,3,3
2022-11-07 22:22:01.508162,23.387028073915438,992.8659032041323,25.96694296035584,2,3
2022-11-07 22:22:34.202732,23.473246790705158,992.8485999520428,25.854150577407644,2,2
2022-11-07 22:23:06.971243,23.628890845304078,992.870679142994,25.916926909691327,2,2
2022-11-07 22:23:39.740640,23.672000197370117,992.8940907775665,25.871633859919566,2,2
2022-11-07 22:24:12.428792,23.424634102825266,992.9265542335955,25.91066354771696,2,2
2022-11-07 22:24:45.193628,23.41225162867225,992.931923257573,25.883159678249687,2,2
2022-11-07 22:25:17.958367,23.35767703463352,992.9374181486786,25.945336719768793,1,1
2022-11-07 22:25:50.652687,23.41454467935101,992.9153962360335,25.80539190111899,2,2
2022-11-07 22:26:23.414964,23.63072528552194,992.9385600319422,25.89468467614323,3,3
2022-11-07 22:26:56.180220,23.40720691732349,992.9142132910788,25.92767358592904,2,2
2022-11-07 22:27:28.872472,23.65273857018569,992.9126488797684,25.877580083646986,3,3
2022-11-07 22:28:01.636733,23.66970714636293,992.8986985945656,25.9050183108793,2,2
2022-11-07 22:28:34.403262,23.650445519523352,992.8997150401779,25.94979458150892,3,3
2022-11-07 22:29:07.092727,23.440226849757888,992.8779427777567,25.926999618211497,2,2
2022-11-07 22:29:39.854680,23.438851019069826,992.862556991986,25.860408329390566,2,2
2022-11-07 22:30:12.626046,23.702268474512536,992.8721049396753,25.804390388128006,3,3
2022-11-07 22:30:45.315726,23.461781532467043,992.8515195899273,26.032041325397685,2,2
2022-11-07 22:31:18.083249,23.453985157451367,992.8619621321768,25.826786863499215,2,2
2022-11-07 22:31:51.681383,23.614673934506506,992.8982800760288,25.817297101028153,2,2
2022-11-07 22:32:24.444561,23.367307843656473,992.9099456377629,25.90073283819021,0,0
2022-11-07 22:32:57.150670,23.432430476054286,992.9022487653145,25.838333526711104,2,2
2022-11-07 22:33:29.900504,23.492967037275534,992.8704064529534,25.79822381191564,2,2
2022-11-07 22:34:02.663961,23.53286615008796,992.8521312378601,25.703005930590553,3,3
2022-11-07 22:34:35.361542,23.494342868544912,992.8424643671209,25.80929990631706,2,2
2022-11-07 22:35:08.123134,23.4365579679559,992.8756185988428,25.8882135053811,2,2
2022-11-07 22:35:41.751721,23.232759848551282,992.8436123699225,25.804210825541368,1,1
2022-11-07 22:36:14.491044,23.596613034282562,992.8047529473729,25.712787848620863,1,1
2022-11-07 22:36:47.179984,23.78315912504781,992.8825550314301,26.001914383264946,1,1
2022-11-07 22:37:19.951802,22.558781017312814,992.8452378968966,26.7376274285382,1,2
2022-11-07 22:37:52.713169,23.040319351943047,992.8774747699858,26.312402275895273,3,5
2022-11-07 22:38:25.408164,23.091683547827817,992.8788557520377,26.211521984333924,3,3
